City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Baherden,TM,2022-03-24 12:53:09,38.4362,57.4316,58.28,45,77,20.96
67,Dakar,SN,2022-03-24 12:50:14,14.6937,-17.4441,77.88,68,0,13.8
68,Sur,OM,2022-03-24 12:47:40,22.5667,59.5289,86.52,35,5,4.32
69,Port Elizabeth,ZA,2022-03-24 12:47:23,-33.918,25.5701,76.1,74,0,25.32
70,Touros,BR,2022-03-24 12:47:32,-5.1989,-35.4608,85.1,66,76,8.77
71,Salalah,OM,2022-03-24 12:53:10,17.0151,54.0924,80.2,60,9,7.99
72,Kavaratti,IN,2022-03-24 12:53:10,10.5669,72.642,83.98,63,10,4.38
73,Sao Gabriel Da Cachoeira,BR,2022-03-24 12:53:10,-0.1303,-67.0892,75.0,96,100,1.25
74,Carnarvon,AU,2022-03-24 12:43:40,-24.8667,113.6333,82.47,74,40,5.75
75,Podgorica,ME,2022-03-24 12:50:31,42.4411,19.2636,69.58,13,0,8.05
76,Coihaique,CL,2022-03-24 12:47:40,-45.5752,-72.0662,48.81,76,100,6.91
77,Hermanus,ZA,2022-03-24 12:43:46,-34.4187,19.2345,72.81,69,4,11.86
78,Puerto Del Rosario,ES,2022-03-24 12:53:11,28.5004,-13.8627,69.55,43,20,18.41
79,Jijiga,ET,2022-03-24 12:53:11,9.35,42.8,84.52,24,49,10.58
80,Talara,PE,2022-03-24 12:53:12,-4.5772,-81.2719,73.74,71,100,14.27
81,Tonekabon,IR,2022-03-24 12:53:12,36.8163,50.8738,48.15,82,73,3.85
82,Cidreira,BR,2022-03-24 12:46:16,-30.1811,-50.2056,70.93,90,100,11.05
83,Ugoofaaru,MV,2022-03-24 12:53:12,5.6667,73.0,83.3,63,0,10.56
84,Imbituba,BR,2022-03-24 12:51:22,-28.24,-48.6703,74.82,91,100,14.36
85,Tasiilaq,GL,2022-03-24 12:53:13,65.6145,-37.6368,13.44,65,98,3.44
86,Raudeberg,NO,2022-03-24 12:46:22,61.9875,5.1352,49.96,74,100,23.42
87,Souillac,MU,2022-03-24 12:45:08,-20.5167,57.5167,84.58,70,40,9.22
88,General Roca,AR,2022-03-24 12:46:13,-39.0333,-67.5833,56.62,34,0,18.41
89,Lebu,CL,2022-03-24 12:46:25,-37.6167,-73.65,53.98,66,0,21.85
90,Digha,IN,2022-03-24 12:48:36,21.6833,87.55,79.72,85,100,18.25
91,Am Timan,TD,2022-03-24 12:54:14,11.0297,20.2827,102.83,8,60,7.74
92,Praia,CV,2022-03-24 12:51:18,14.9215,-23.5087,73.94,56,40,25.32
93,Sisimiut,GL,2022-03-24 12:54:15,66.9395,-53.6735,8.98,66,100,13.38
94,Yafran,LY,2022-03-24 12:54:15,32.0633,12.5286,59.2,26,0,8.1
95,Saldanha,ZA,2022-03-24 12:54:16,-33.0117,17.9442,75.25,73,0,15.9
96,Andenes,NO,2022-03-24 12:54:16,69.3143,16.1194,31.98,86,75,10.36
97,Santa Quiteria,BR,2022-03-24 12:54:16,-4.3319,-40.1567,84.67,57,100,4.83
98,Mogadishu,SO,2022-03-24 12:50:42,2.0371,45.3438,87.67,79,20,12.66
99,Birao,CF,2022-03-24 12:54:17,10.2849,22.7882,102.99,8,100,10.31
100,Suzun,RU,2022-03-24 12:54:17,53.7841,82.3116,27.55,97,100,8.43
101,Edd,ER,2022-03-24 12:46:20,13.9297,41.6925,82.09,74,72,16.2
102,Hofn,IS,2022-03-24 12:50:13,64.2539,-15.2082,42.82,93,100,2.3
103,Richards Bay,ZA,2022-03-24 12:47:37,-28.783,32.0377,82.47,57,97,11.74
104,Bambous Virieux,MU,2022-03-24 12:47:40,-20.3428,57.7575,85.21,70,40,9.22
105,Ciudad Bolivar,VE,2022-03-24 12:54:18,8.1222,-63.5497,80.74,66,99,13.65
106,Coquimbo,CL,2022-03-24 12:51:58,-29.9533,-71.3436,64.08,72,0,2.59
107,Kuytun,RU,2022-03-24 12:54:18,54.3419,101.5036,12.38,94,100,4.18
108,Flic En Flac,MU,2022-03-24 12:54:19,-20.2742,57.3631,84.76,73,71,12.39
109,Kostek,RU,2022-03-24 12:54:19,43.3439,46.8541,41.29,85,100,14.34
110,Puerto Colombia,CO,2022-03-24 12:51:26,10.9878,-74.9547,77.09,75,6,19.33
111,Port Blair,IN,2022-03-24 12:44:59,11.6667,92.75,82.35,71,100,3.6
112,Shihezi,CN,2022-03-24 12:48:56,44.3,86.0333,41.52,49,1,3.04
113,Ilulissat,GL,2022-03-24 12:54:19,69.2167,-51.1,2.39,64,100,4.41
114,Alice Town,BS,2022-03-24 12:54:20,25.7167,-79.3,77.56,79,0,21.05
115,Svetlogorsk,BY,2022-03-24 12:44:55,52.6333,29.7333,36.14,96,100,16.06
116,Saint-Georges,GD,2022-03-24 12:54:20,12.0564,-61.7485,82.08,69,20,13.8
117,Nailsea,GB,2022-03-24 12:54:20,51.4324,-2.7585,66.56,44,2,1.14
118,Tarnogskiy Gorodok,RU,2022-03-24 12:54:21,60.4997,43.5761,38.39,85,100,13.27
119,Turukhansk,RU,2022-03-24 12:54:21,65.8167,87.9833,15.15,90,100,5.75
120,Victoria,HK,2022-03-24 12:50:03,22.2855,114.1577,66.96,93,100,11.99
121,Sistranda,NO,2022-03-24 12:47:28,63.7256,8.834,44.56,94,100,29.51
122,Mwene-Ditu,CD,2022-03-24 12:54:22,-7.0,23.45,84.4,52,15,3.36
123,Ituporanga,BR,2022-03-24 12:54:22,-27.4144,-49.6025,72.75,91,87,3.56
124,Dingle,PH,2022-03-24 12:46:15,10.9995,122.6711,78.75,80,91,7.65
125,Sao Filipe,CV,2022-03-24 12:54:22,14.8961,-24.4956,71.4,69,0,8.16
126,Caravelas,BR,2022-03-24 12:44:54,-17.7125,-39.2481,82.72,67,18,3.8
127,Asfi,MA,2022-03-24 12:54:23,32.2994,-9.2372,60.4,63,100,14.03
128,Lagos,NG,2022-03-24 12:54:23,6.5833,3.75,88.12,60,99,7.23
129,Gornyy,RU,2022-03-24 12:54:23,55.1153,83.9059,22.69,95,100,7.05
130,Koslan,RU,2022-03-24 12:54:23,63.4564,48.8989,33.03,98,100,11.14
131,Dongen,NL,2022-03-24 12:54:24,51.6267,4.9389,68.11,27,1,6.91
132,Barcelos,PT,2022-03-24 12:52:02,41.5388,-8.6151,65.91,48,98,11.68
133,Tignere,CM,2022-03-24 12:54:24,7.3667,12.65,95.07,10,2,9.48
134,Sayat,TM,2022-03-24 12:54:25,38.7839,63.8803,49.87,36,4,10.58
135,Shiraz,IR,2022-03-24 12:54:25,29.6036,52.5388,76.44,8,40,23.02
136,Upernavik,GL,2022-03-24 12:47:36,72.7868,-56.1549,0.66,64,100,5.99
137,Codrington,AU,2022-03-24 12:48:44,-38.2667,141.9667,55.56,79,6,4.63
138,Gewane,ET,2022-03-24 12:55:27,10.1664,40.6453,93.02,35,21,7.14
139,Valdivia,CL,2022-03-24 12:55:27,-39.8142,-73.2459,49.8,71,0,2.91
140,Sabha,LY,2022-03-24 12:55:27,27.0377,14.4283,66.9,17,0,10.04
141,Viedma,AR,2022-03-24 12:55:28,-40.8135,-62.9967,61.2,65,100,25.48
142,Kunya,NG,2022-03-24 12:55:28,12.2233,8.5325,93.36,9,100,12.66
143,Colares,PT,2022-03-24 12:55:29,38.7992,-9.4469,61.32,67,20,17.0
144,Maldonado,UY,2022-03-24 12:55:29,-34.6667,-54.9167,73.22,76,60,12.15
145,Riyadh,SA,2022-03-24 12:54:16,24.6877,46.7219,95.14,7,0,14.52
