City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Ostrovnoy,RU,68.0531,39.5131,22.1,84,100,20.09,light snow
79,Sabya,SA,17.1495,42.6254,80.22,68,6,2.1,clear sky
80,Krasnomayskiy,RU,57.6194,34.4099,37.65,94,100,13.04,overcast clouds
81,Ballitoville,ZA,-29.539,31.2144,67.24,82,75,3.44,broken clouds
82,Punta Umbria,ES,37.1821,-6.9661,53.24,79,90,9.57,overcast clouds
83,Tambovka,RU,50.0969,128.0489,30.9,100,100,8.81,light snow
84,Paamiut,GL,61.994,-49.6678,14.72,73,54,6.02,broken clouds
85,Lebu,CL,-37.6167,-73.65,55.08,92,3,12.44,clear sky
86,Porto Novo,BJ,6.4965,2.6036,80.73,84,18,4.59,few clouds
87,Port Elizabeth,ZA,-33.918,25.5701,61.32,90,0,6.91,clear sky
88,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,91,100,25.88,overcast clouds
89,Camocim,BR,-2.9022,-40.8411,76.15,91,100,7.31,overcast clouds
90,Upernavik,GL,72.7868,-56.1549,-0.2,96,100,8.37,overcast clouds
91,Sinazongwe,ZM,-17.2614,27.4618,71.55,90,65,2.93,moderate rain
92,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,57,0,6.91,clear sky
93,Jalu,LY,29.0331,21.5482,54.34,34,0,5.03,clear sky
94,Sisimiut,GL,66.9395,-53.6735,14.38,96,100,6.55,light snow
95,Hamilton,US,39.1834,-84.5333,43.43,82,75,25.32,broken clouds
96,Kavaratti,IN,10.5669,72.642,81.73,66,6,4.32,clear sky
97,Arlit,NE,18.7369,7.3853,75.85,13,63,6.22,broken clouds
98,Sokoni,TZ,-6.4333,39.55,82.47,75,64,6.35,broken clouds
99,Jacareacanga,BR,-6.2222,-57.7528,73.47,97,100,1.32,overcast clouds
100,Groningen,NL,53.25,6.75,45.03,81,55,3.44,mist
101,Malanje,AO,-9.5402,16.341,64.04,97,100,2.82,light rain
102,Venice,US,27.0998,-82.4543,70.99,68,75,16.11,broken clouds
103,Codrington,AU,-38.2667,141.9667,70.56,52,5,10.07,clear sky
